City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
107,Lasa,IT,2021-12-04 17:21:33,46.6166,10.7002,1.49,88,97,0.59
108,Georgetown,MY,2021-12-04 17:19:09,5.4112,100.3354,27.16,84,20,2.06
109,Vengerovo,RU,2021-12-04 17:21:34,55.6848,76.7471,-3.46,96,82,4.86
110,Yulara,AU,2021-12-04 17:21:34,-25.2406,130.9889,25.91,31,40,6.69
111,Zhuhai,CN,2021-12-04 17:17:05,22.2769,113.5678,18.95,59,0,3.6
112,Faanui,PF,2021-12-04 17:21:34,-16.4833,-151.75,26.89,73,76,8.01
113,Dikson,RU,2021-12-04 17:21:35,73.5069,80.5464,-30.64,100,77,2.02
114,Esperance,AU,2021-12-04 17:19:04,-33.8667,121.9,14.11,82,3,5.03
115,Zeya,RU,2021-12-04 17:21:35,53.75,127.2667,-16.4,74,56,1.96
116,Pochutla,MX,2021-12-04 17:21:35,15.7432,-96.4661,32.68,36,27,2.24
117,Airai,TL,2021-12-04 17:21:36,-8.9266,125.4092,16.77,93,100,0.54
118,Kachiry,KZ,2021-12-04 17:21:36,53.0675,76.1036,-1.8,92,100,3.88
119,Kulebaki,RU,2021-12-04 17:21:36,55.4133,42.5325,-2.76,77,96,4.53
120,Half Moon Bay,US,2021-12-04 17:21:36,37.4636,-122.4286,12.95,83,90,0.45
121,Amga,RU,2021-12-04 17:21:37,60.8953,131.9608,-23.79,99,100,2.01
122,Roma,US,2021-12-04 17:21:37,43.2128,-75.4557,7.92,72,90,2.57
123,Anadyr,RU,2021-12-04 17:21:37,64.75,177.4833,-19.72,50,0,5.0
124,Hithadhoo,MV,2021-12-04 17:21:38,-0.6,73.0833,27.89,77,82,6.0
125,Anloga,GH,2021-12-04 17:21:38,5.7947,0.8973,30.12,71,91,4.54
126,Sorland,NO,2021-12-04 17:21:38,67.667,12.6934,-1.18,59,6,8.11
127,Vaini,TO,2021-12-04 17:21:39,-21.2,-175.2,26.09,94,40,3.6
128,Kibre Mengist,ET,2021-12-04 17:21:39,5.8833,38.9833,15.77,70,71,1.33
129,Nouadhibou,MR,2021-12-04 17:21:39,20.931,-17.0347,20.99,68,0,6.69
130,Hambantota,LK,2021-12-04 17:21:39,6.1241,81.1185,26.04,84,52,2.64
131,San Patricio,US,2021-12-04 17:19:24,28.017,-97.5169,26.92,65,7,5.44
132,Liwonde,MW,2021-12-04 17:21:40,-15.0506,35.2035,30.2,42,66,2.25
133,Seydi,TM,2021-12-04 17:21:40,39.4816,62.9137,7.53,33,97,2.99
134,Lingao,CN,2021-12-04 17:21:40,19.9103,109.6859,20.08,58,60,4.05
135,Odienne,CI,2021-12-04 17:21:41,9.51,-7.5692,34.12,24,79,2.4
136,Buchanan,LR,2021-12-04 17:21:41,5.8808,-10.0467,30.98,75,97,4.33
137,Les Escoumins,CA,2021-12-04 17:21:41,48.1111,-69.0236,-7.36,72,24,5.28
138,Shchors,UA,2021-12-04 17:21:42,51.8186,31.945,-3.31,95,21,2.56
139,Busselton,AU,2021-12-04 17:21:42,-33.65,115.3333,16.16,74,0,5.59
140,Provideniya,RU,2021-12-04 17:22:42,64.3833,-173.3,-10.5,77,17,4.69
141,Vostok,RU,2021-12-04 17:22:43,46.4856,135.8833,-24.65,98,47,2.49
142,Miyako,JP,2021-12-04 17:22:43,39.6367,141.9525,1.16,71,26,4.29
