City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
117,Bure,ET,10.7,37.0667,14.46,46,2,2.67,clear sky
118,Ilulissat,GL,69.2167,-51.1,-1.99,86,75,7.2,light snow
119,Chifeng,CN,42.2683,118.9636,-0.95,45,69,4.02,broken clouds
120,Kaitangata,NZ,-46.2817,169.8464,12.18,58,96,3.28,overcast clouds
121,Lianran,CN,24.9227,102.485,7.52,94,32,0.85,scattered clouds
122,Altea,ES,38.5989,-0.0514,12.86,55,13,6.54,few clouds
123,Lawton,US,34.6087,-98.3903,26.26,40,1,8.23,clear sky
124,Lagos,NG,6.5833,3.75,26.81,84,83,2.02,broken clouds
125,Mumford,GH,5.2618,-0.759,27.46,84,91,4.76,overcast clouds
126,Nokaneng,BW,-19.6667,22.2667,22.24,66,100,1.23,overcast clouds
127,Egvekinot,RU,66.3167,-179.1667,-19.15,82,94,12.46,overcast clouds
128,Aklavik,CA,68.2191,-135.0107,-27.14,86,3,3.59,clear sky
129,Dikson,RU,73.5069,80.5464,-18.35,94,100,4.12,overcast clouds
130,Acarau,BR,-2.8856,-40.12,27.33,80,9,8.16,clear sky
131,Agadir,MA,30.4202,-9.5982,9.25,64,0,1.05,clear sky
132,Nantucket,US,41.2835,-70.0995,6.09,60,1,1.54,clear sky
133,Shingu,JP,33.7333,135.9833,10.92,90,99,2.32,overcast clouds
134,Barranca,PE,-10.75,-77.7667,19.92,80,100,4.83,overcast clouds
135,Tasiilaq,GL,65.6145,-37.6368,-1.12,92,99,11.98,snow
136,Kutum,SD,14.2,24.6667,18.18,23,6,3.92,clear sky
137,Taltal,CL,-25.4,-70.4833,19.68,65,26,2.88,scattered clouds
138,Hami,CN,42.8,93.45,-0.94,49,99,3.38,overcast clouds
139,East London,ZA,-33.0153,27.9116,20.69,95,100,1.4,overcast clouds
140,Pevek,RU,69.7008,170.3133,-22.55,96,100,6.82,overcast clouds
141,Thompson,CA,55.7435,-97.8558,-25.6,90,37,3.51,scattered clouds
142,Lebu,CL,-37.6167,-73.65,17.21,69,0,6.49,clear sky
143,Buchanan,LR,5.8808,-10.0467,23.98,82,64,2.85,broken clouds
144,Grand Gaube,MU,-20.0064,57.6608,25.77,68,6,1.79,clear sky
145,Canyon Lake,US,29.8752,-98.2625,25.44,79,100,1.34,overcast clouds
146,Melukote,IN,12.6589,76.6506,19.39,83,92,1.45,overcast clouds
147,Havoysund,NO,70.9963,24.6622,-0.87,97,99,14.09,snow
148,Avera,US,33.194,-82.5271,20.97,70,100,2.33,overcast clouds
149,Timra,SE,62.487,17.3257,-9.62,74,90,5.14,overcast clouds
150,Kudahuvadhoo,MV,2.6708,72.8944,27.87,75,87,6.55,overcast clouds
151,Feijo,BR,-8.1642,-70.3536,23.35,99,100,1.15,overcast clouds
152,Kaeo,NZ,-35.1,173.7833,24.62,80,43,3.71,scattered clouds
153,Fortuna,US,40.5982,-124.1573,14.68,93,90,0.45,overcast clouds
154,Kletnya,RU,53.3897,33.2171,-3.91,94,100,2.02,overcast clouds
155,Bubaque,GW,11.2833,-15.8333,27.52,69,99,6.26,overcast clouds
156,Necochea,AR,-38.5473,-58.7368,18.91,62,0,5.0,clear sky
157,Tshikapa,CD,-6.4167,20.8,21.07,98,100,0.98,overcast clouds
158,Pandan,PH,14.0453,124.1694,24.45,83,94,6.76,overcast clouds
159,Abhar,IR,36.1468,49.218,4.49,36,55,1.54,broken clouds
160,Barrow,US,71.2906,-156.7887,-12.99,78,90,8.75,light snow
161,Nurobod,UZ,40.9056,69.8023,3.47,66,79,1.08,broken clouds
162,Anadyr,RU,64.75,177.4833,-10.72,84,90,15.0,heavy snow
163,Epe,NG,6.5841,3.9834,26.49,87,68,1.99,broken clouds
164,Islampur,IN,26.2667,88.2,19.16,73,83,2.12,broken clouds
165,Vardo,NO,70.3705,31.1107,-12.14,78,13,9.96,few clouds
166,Ghanzi,BW,-21.5667,21.7833,21.98,64,69,6.67,broken clouds
167,Hobart,AU,-42.8794,147.3294,16.12,60,40,2.24,scattered clouds
168,Clyde River,CA,70.4692,-68.5914,-11.87,85,100,13.38,light snow
169,Saldanha,ZA,-33.0117,17.9442,16.03,93,13,6.96,few clouds
170,Osakarovka,KZ,50.565,72.5692,0.23,94,100,3.88,overcast clouds
171,Sistranda,NO,63.7256,8.834,-5.06,69,77,6.7,broken clouds
172,Grindavik,IS,63.8424,-22.4338,4.26,93,75,7.2,moderate rain
173,San Patricio,US,28.017,-97.5169,28.23,70,100,6.77,overcast clouds
174,Cockburn Town,TC,21.4612,-71.1419,27.04,76,61,9.29,broken clouds
175,Mayumba,GA,-3.432,10.6554,25.93,90,99,1.37,light rain
176,Natal,BR,-5.795,-35.2094,26.96,76,83,5.44,broken clouds
177,Tecoanapa,MX,16.5167,-98.75,29.2,61,1,3.73,clear sky
178,Sisimiut,GL,66.9395,-53.6735,-2.56,69,100,9.95,overcast clouds
179,Longyearbyen,SJ,78.2186,15.6401,-10.09,73,75,5.14,broken clouds
180,Novy Bydzov,CZ,50.2415,15.4908,3.58,95,100,1.38,overcast clouds
181,Togur,RU,58.3631,82.8265,-1.13,95,100,5.33,light snow
182,Ketchikan,US,55.3422,-131.6461,-0.74,80,90,1.54,overcast clouds
183,Milkovo,RU,54.7167,158.6167,-11.76,88,91,2.68,overcast clouds
184,Qaanaaq,GL,77.484,-69.3632,-6.76,81,100,2.7,overcast clouds
185,Sao Joao Da Barra,BR,-21.6403,-41.0511,24.19,84,15,6.59,few clouds
186,Bonavista,CA,48.6499,-53.1147,0.62,61,92,7.14,overcast clouds
187,Lavrentiya,RU,65.5833,-171.0,-1.19,97,100,5.03,snow
188,Yellowknife,CA,62.456,-114.3525,-28.1,92,24,2.28,few clouds
189,Illapel,CL,-31.6308,-71.1653,26.55,37,18,3.29,few clouds
190,Fuyang,CN,32.9,115.8167,6.32,40,0,2.63,clear sky
191,Koygorodok,RU,60.445,50.9968,-24.65,100,51,1.63,broken clouds
192,Bethel,US,41.3712,-73.414,6.11,51,1,2.06,clear sky
193,Ayolas,PY,-27.4,-56.9,29.57,50,14,1.86,few clouds
194,Rypin,PL,53.066,19.4094,-1.14,92,99,4.75,overcast clouds
195,Port-Gentil,GA,-0.7193,8.7815,27.03,81,100,3.66,moderate rain
196,Ambon,ID,-3.6954,128.1814,26.08,89,40,3.09,scattered clouds
197,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,24.77,96,99,0.99,overcast clouds
198,Vanavara,RU,60.34,102.2797,-17.58,98,100,1.03,overcast clouds
199,Saskylakh,RU,71.9167,114.0833,-33.3,97,100,1.8,overcast clouds
200,Urumqi,CN,43.801,87.6005,-8.47,86,74,2.0,mist
201,Luderitz,NA,-26.6481,15.1594,16.16,88,0,4.48,clear sky
202,Cayenne,GF,4.9333,-52.3333,25.02,90,75,0.45,broken clouds
203,Bafoulabe,ML,13.8065,-10.8321,28.27,13,91,3.59,overcast clouds
204,Paraiba Do Sul,BR,-22.1619,-43.2928,21.85,91,76,0.99,broken clouds
205,Shache,CN,38.4167,77.2406,-1.5,34,100,0.73,overcast clouds
206,Ciudad Bolivar,VE,8.1222,-63.5497,29.26,54,84,4.65,broken clouds
207,Hasaki,JP,35.7333,140.8333,7.38,64,100,4.87,overcast clouds
208,Adrar,MR,20.5022,-10.0711,16.97,12,100,5.34,overcast clouds
209,Zhanaozen,KZ,43.3,52.8,3.31,65,100,4.71,overcast clouds
210,Kenai,US,60.5544,-151.2583,-7.7,87,90,4.12,light snow
211,Naze,JP,28.3667,129.4833,17.51,71,71,7.84,broken clouds
212,Chiredzi,ZW,-21.05,31.6667,25.79,60,2,4.03,clear sky
213,Sitka,US,57.0531,-135.33,1.94,75,75,5.66,light rain
214,Acapulco,MX,16.8634,-99.8901,29.9,70,1,3.6,clear sky
215,Santander,ES,43.4647,-3.8044,11.84,79,40,5.36,scattered clouds
216,Chuy,UY,-33.6971,-53.4616,19.38,78,97,4.03,overcast clouds
217,Traunstein,DE,47.8833,12.65,0.14,90,96,1.36,overcast clouds
218,Whitehorse,CA,60.7161,-135.0538,-21.06,83,86,8.49,overcast clouds
219,Bangui,CF,4.3612,18.555,24.93,67,86,1.95,overcast clouds
220,Faanui,PF,-16.4833,-151.75,27.41,66,34,7.66,scattered clouds
221,Muros,ES,42.7762,-9.0603,11.8,94,55,3.12,broken clouds
222,Mpanda,TZ,-6.3655,31.0409,19.18,85,92,0.15,overcast clouds
223,Iralaya,HN,15.0,-83.2333,26.64,82,12,3.89,few clouds
224,Korcula,HR,42.9622,17.1369,8.31,70,100,7.38,overcast clouds
225,Isangel,VU,-19.55,169.2667,29.06,79,75,0.0,broken clouds
226,Makushino,RU,55.2103,67.2442,-1.79,97,100,2.99,overcast clouds
227,Hualmay,PE,-11.0964,-77.6139,20.16,82,100,4.74,overcast clouds
228,Vao,NC,-22.6667,167.4833,24.28,83,100,6.64,overcast clouds
229,Bomet,KE,-0.7813,35.3416,12.45,96,84,1.44,broken clouds
230,Udachnyy,RU,66.4167,112.4,-31.42,74,100,5.15,overcast clouds
231,Bitung,ID,1.4451,125.1824,23.47,84,96,2.64,overcast clouds
232,Kayes,ML,14.0,-11.0,28.47,11,75,5.16,broken clouds
233,Roma,US,43.2128,-75.4557,4.35,78,90,3.09,overcast clouds
234,Erdenet,MN,49.0333,104.0833,-8.54,52,11,2.17,few clouds
235,Gravdal,NO,68.1214,13.5031,-4.06,63,0,4.63,clear sky
236,Kirillov,RU,59.863,38.3813,-22.34,100,28,1.19,scattered clouds
237,Faya,SA,18.3851,42.4509,10.29,70,0,0.82,clear sky
238,Gatton,AU,-27.55,152.2833,23.57,73,60,3.74,broken clouds
239,Ugoofaaru,MV,5.6667,73.0,27.71,75,51,4.49,broken clouds
240,Gonzalez,US,30.5816,-87.2914,22.03,82,40,0.45,scattered clouds
241,Energetik,RU,51.7445,58.7934,-1.41,91,100,3.18,overcast clouds
242,Merritt,CA,50.1123,-120.7942,-2.54,44,100,0.72,overcast clouds
243,Sao Mateus,BR,-18.7161,-39.8589,23.14,87,19,2.43,few clouds
244,Kangaatsiaq,GL,68.3065,-53.4641,-1.37,95,100,8.01,snow
245,Poros,GR,37.4994,23.4536,14.92,65,0,2.56,clear sky
246,Chiria,IN,22.3,85.2667,17.47,96,95,1.15,overcast clouds
247,Talcahuano,CL,-36.7167,-73.1167,18.82,59,0,6.69,clear sky
248,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,32.15,33,5,3.43,clear sky
249,Portland,US,45.5234,-122.6762,9.14,80,75,0.45,broken clouds
250,Margate,GB,51.3813,1.3862,5.94,87,97,4.02,overcast clouds
251,Riyadh,SA,24.6877,46.7219,13.08,34,4,2.22,clear sky
252,Beoumi,CI,7.6736,-5.5764,26.67,48,22,1.64,few clouds
253,Auki,SB,-8.7676,160.7034,27.4,85,97,3.71,light rain
254,Klaksvik,FO,62.2266,-6.589,2.51,62,37,7.77,scattered clouds
255,Yulara,AU,-25.2406,130.9889,20.91,68,40,5.66,scattered clouds
256,Punta Umbria,ES,37.1821,-6.9661,12.35,55,0,6.4,clear sky
257,San Juan Bautista,PE,-14.0108,-75.7358,18.35,56,100,2.46,overcast clouds
258,Aksarayskiy,RU,46.7924,48.0119,6.97,92,100,3.84,overcast clouds
259,Omsukchan,RU,62.5333,155.8,-36.52,99,73,1.5,broken clouds
260,Videle,RO,44.2781,25.5244,2.11,91,92,3.11,overcast clouds
261,Kuna,US,43.4918,-116.4201,9.71,43,1,1.79,clear sky
262,Daru,PG,-9.0763,143.2092,27.11,78,100,0.68,overcast clouds
263,Carutapera,BR,-1.195,-46.02,26.51,81,12,3.65,few clouds
264,Honningsvag,NO,70.9821,25.9704,-1.14,80,75,9.77,light snow
265,Nome,US,64.5011,-165.4064,-0.96,93,90,11.32,mist
266,Kununurra,AU,-15.7667,128.7333,24.99,88,75,0.0,broken clouds
267,Bourail,NC,-21.5667,165.4833,28.3,64,21,2.46,few clouds
268,Guerrero Negro,MX,27.9769,-114.0611,20.36,66,1,7.01,clear sky
269,Talnakh,RU,69.4865,88.3972,-28.22,99,100,6.11,snow
270,Oranjemund,NA,-28.55,16.4333,16.81,91,40,3.12,scattered clouds
271,Tommot,RU,58.9564,126.2925,-16.53,84,100,4.98,overcast clouds
272,Taunggyi,MM,20.7833,97.0333,11.87,88,8,1.21,clear sky
273,Ekhabi,RU,53.5102,142.9671,-14.31,95,87,2.57,overcast clouds
274,Oktyabrskoye,RU,43.0645,44.7417,-3.92,93,8,4.0,clear sky
275,Burnie,AU,-41.0667,145.9167,14.65,78,94,6.49,overcast clouds
276,Makakilo City,US,21.3469,-158.0858,22.18,83,90,2.06,light rain
277,Biloela,AU,-24.4167,150.5,23.74,73,30,3.92,scattered clouds
278,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,25.4,86,47,4.08,scattered clouds
279,Uyuni,BO,-20.4597,-66.825,14.69,48,79,8.18,broken clouds
280,Provideniya,RU,64.3833,-173.3,-0.91,100,90,10.0,snow
281,Benguela,AO,-12.5763,13.4055,25.02,83,46,1.7,scattered clouds
282,Sao Filipe,CV,14.8961,-24.4956,24.12,74,64,6.16,broken clouds
283,Dongning,CN,44.0622,131.1207,-5.9,91,13,1.44,few clouds
284,Talara,PE,-4.5772,-81.2719,22.42,73,0,8.75,clear sky
285,Kandrian,PG,-6.2167,149.55,27.45,76,98,1.41,overcast clouds
286,Toyoshina,JP,36.2999,137.9011,2.99,86,78,0.88,broken clouds
287,Agdam,AZ,39.991,46.9274,11.07,41,100,1.58,overcast clouds
288,San Marcos,US,33.1434,-117.1661,27.36,67,1,0.89,haze
289,Kruisfontein,ZA,-34.0033,24.7314,17.71,91,74,3.04,broken clouds
290,Taoudenni,ML,22.6783,-3.9836,17.23,20,100,4.23,overcast clouds
291,Timmins,CA,48.4669,-81.3331,-9.55,87,100,2.74,overcast clouds
292,Mogadishu,SO,2.0371,45.3438,26.41,73,70,6.84,broken clouds
293,Bowen,AU,-20.0167,148.2333,28.12,60,18,7.14,few clouds
294,Tarbert,GB,55.8628,-5.4162,3.99,79,100,3.45,overcast clouds
295,Esfarayen,IR,37.0765,57.5101,4.27,53,80,1.92,broken clouds
296,Fort Morgan,US,40.2503,-103.8,2.68,49,30,11.65,scattered clouds
297,Bontang,ID,0.1333,117.5,25.01,89,100,2.74,overcast clouds
298,Tarime,TZ,-1.35,34.3667,16.92,78,90,2.23,overcast clouds
299,Arsikere,IN,13.3139,76.2561,21.06,79,90,1.65,overcast clouds
300,Bathsheba,BB,13.2167,-59.5167,27.34,69,75,9.26,broken clouds
301,Vallenar,CL,-28.5708,-70.7581,26.87,27,80,3.55,broken clouds
302,Zhezkazgan,KZ,47.8043,67.7144,-0.12,92,100,3.19,overcast clouds
303,Hurbanovo,SK,47.8698,18.1923,1.73,100,100,1.79,light snow
304,Banff,CA,51.1762,-115.5698,-12.27,77,97,1.75,overcast clouds
305,Brae,GB,60.3964,-1.353,4.95,61,79,3.22,broken clouds
306,Cam Ranh,VN,11.9214,109.1591,23.98,73,40,4.63,scattered clouds
307,Coihaique,CL,-45.5752,-72.0662,20.97,46,75,3.09,broken clouds
308,Mongoumba,CF,3.6415,18.5936,23.83,82,97,1.28,overcast clouds
309,Laguna,US,38.421,-121.4238,20.91,78,40,0.0,scattered clouds
310,Usinsk,RU,65.9939,57.5281,-19.04,99,96,3.33,overcast clouds
311,Prainha,BR,-1.8,-53.48,27.04,70,95,1.31,overcast clouds
312,Betare Oya,CM,5.6,14.0833,24.82,40,99,1.93,overcast clouds
313,Norman Wells,CA,65.282,-126.8329,-24.43,82,65,1.98,broken clouds
314,Iwanai,JP,42.9744,140.5089,-1.03,88,77,2.58,broken clouds
315,Yar-Sale,RU,66.8333,70.8333,-26.65,92,20,6.55,few clouds
316,Salalah,OM,17.0151,54.0924,24.05,33,0,3.6,clear sky
317,Borogontsy,RU,62.6683,131.1683,-24.21,96,100,2.64,overcast clouds
318,Poum,NC,-20.2333,164.0167,27.14,74,13,4.8,few clouds
319,Qandala,SO,11.472,49.8728,23.62,67,8,2.3,clear sky
320,Baiyin,CN,36.5583,104.2081,-1.41,31,9,0.98,clear sky
321,Nanaimo,CA,49.1663,-123.936,5.87,72,100,1.03,overcast clouds
322,Saint George,US,37.1041,-113.5841,22.42,23,1,1.54,clear sky
323,Idrinskoye,RU,54.3708,92.1358,-13.31,99,97,1.6,overcast clouds
324,Qasigiannguit,GL,68.8193,-51.1922,-1.86,62,100,9.26,overcast clouds
325,Manjacaze,MZ,-24.7117,33.8828,25.55,60,8,4.03,clear sky
326,Muli,MV,2.9167,73.5667,28.1,71,49,6.07,scattered clouds
327,Carupano,VE,10.6678,-63.2585,25.59,83,83,5.68,broken clouds
328,Khani,GE,41.9563,42.9566,4.76,68,69,2.7,broken clouds
329,Maniitsoq,GL,65.4167,-52.9,-3.05,78,100,14.41,light snow
330,Utinga,BR,-5.8172,-35.3954,28.47,78,40,4.12,scattered clouds
331,Nisia Floresta,BR,-6.0911,-35.2086,28.45,79,37,4.65,scattered clouds
332,Ingham,US,42.6,-84.3833,1.79,89,90,5.14,light rain
333,San Cristobal,VE,7.7669,-72.225,25.1,57,70,1.4,broken clouds
334,Anloga,GH,5.7947,0.8973,27.87,83,68,5.43,broken clouds
335,Sibolga,ID,1.7427,98.7792,24.01,87,87,1.43,light rain
336,Umm Kaddadah,SD,13.6017,26.6876,21.64,16,45,5.52,scattered clouds
337,Carballo,ES,43.213,-8.691,10.83,93,75,1.46,broken clouds
338,Saint-Joseph,RE,-21.3667,55.6167,24.2,80,44,4.44,scattered clouds
339,Alice Springs,AU,-23.7,133.8833,22.75,56,3,2.57,clear sky
340,Plettenberg Bay,ZA,-34.0527,23.3716,18.48,84,97,5.76,overcast clouds
341,Lakota,CI,5.8528,-5.6883,23.46,95,15,1.22,few clouds
342,Roald,NO,62.5833,6.1333,2.41,75,75,6.69,broken clouds
343,Sulangan,PH,11.1373,123.7228,26.91,74,48,8.93,scattered clouds
344,Delta Del Tigre,UY,-34.7633,-56.3853,20.5,77,75,5.66,broken clouds
345,Aasiaat,GL,68.7098,-52.8699,-2.51,91,100,4.98,light snow
